wojewodztwo;powiat_miasto;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
woj_puste;pow_puste;25;0;0;0;t00
dolnośląskie;bolesławiecki;69523;0;31440;0;t0201
dolnośląskie;dzierżoniowski;65487;0;30919;0;t0202
dolnośląskie;głogowski;61349;0;27801;0;t0203
dolnośląskie;górowski;25805;0;11668;0;t0204
dolnośląskie;jaworski;37678;30;17037;1;t0205
dolnośląskie;jeleniogórski;49224;0;23000;0;t0206
dolnośląskie;kamiennogórski;29824;0;14005;0;t0207
dolnośląskie;kłodzki;122800;0;57745;0;t0208
dolnośląskie;legnicki;42599;0;19004;0;t0209
dolnośląskie;lubański;28475;0;11917;0;t0210
dolnośląskie;lubiński;120734;0;57722;0;t0211
dolnośląskie;lwówecki;39804;0;18418;0;t0212
dolnośląskie;milicki;32677;0;15326;0;t0213
dolnośląskie;oleśnicki;91157;55;41118;29;t0214
dolnośląskie;oławski;44296;0;21359;0;t0215
dolnośląskie;polkowicki;40078;15;17490;0;t0216
dolnośląskie;strzeliński;35830;26;16715;0;t0217
dolnośląskie;średzki;21014;0;9938;0;t0218
dolnośląskie;świdnicki;96619;420;44446;0;t0219
dolnośląskie;trzebnicki;57294;0;27452;0;t0220
dolnośląskie;wałbrzyski;30429;0;14416;0;t0221
dolnośląskie;wołowski;40665;43;18206;10;t0222
dolnośląskie;wrocławski;99855;0;47546;0;t0223
dolnośląskie;ząbkowicki;53008;0;24956;0;t0224
dolnośląskie;zgorzelecki;55687;66;25154;0;t0225
dolnośląskie;złotoryjski;33090;0;14785;0;t0226
dolnośląskie;Jelenia Góra;86050;0;41382;0;t0261
dolnośląskie;Legnica;86292;0;40652;0;t0262
dolnośląskie;Wrocław;1021007;398;480631;116;t0264
dolnośląskie;Wałbrzych;206276;0;96554;0;t0265
kujawsko-pomorskie;aleksandrowski;129933;63;61766;16;t0401
kujawsko-pomorskie;brodnicki;68434;0;31802;0;t0402
kujawsko-pomorskie;bydgoski;74454;10;35035;6;t0403
kujawsko-pomorskie;chełmiński;39772;0;18605;0;t0404
kujawsko-pomorskie;golubsko-dobrzyński;34313;0;15985;0;t0405
kujawsko-pomorskie;grudziądzki;24757;9;11076;4;t0406
kujawsko-pomorskie;inowrocławski;101345;0;48244;0;t0407
kujawsko-pomorskie;lipnowski;50322;33;22913;0;t0408
kujawsko-pomorskie;mogileński;29956;0;13981;0;t0409
kujawsko-pomorskie;nakielski;80433;81;36230;4;t0410
kujawsko-pomorskie;radziejowski;43232;0;20079;0;t0411
kujawsko-pomorskie;rypiński;33660;0;15560;0;t0412
kujawsko-pomorskie;sępoleński;47355;18;21905;0;t0413
kujawsko-pomorskie;świecki;73720;0;33991;0;t0414
kujawsko-pomorskie;toruński;69232;0;30247;0;t0415
kujawsko-pomorskie;tucholski;37896;151;17349;10;t0416
kujawsko-pomorskie;wąbrzeski;26372;32;11946;32;t0417
kujawsko-pomorskie;włocławski;62454;12;29600;4;t0418
kujawsko-pomorskie;żniński;51355;0;24242;0;t0419
kujawsko-pomorskie;Bydgoszcz;419025;156;197194;54;t0461
kujawsko-pomorskie;Grudziądz;118600;0;54944;0;t0462
kujawsko-pomorskie;Toruń;184453;325;85708;126;t0463
kujawsko-pomorskie;Włocławek;89969;36;40892;19;t0464
lubelskie;bialski;59156;0;27034;0;t0601
lubelskie;biłgorajski;51708;0;24566;0;t0602
lubelskie;chełmski;34967;0;16479;0;t0603
lubelskie;hrubieszowski;42547;0;19473;0;t0604
lubelskie;janowski;29131;35;13490;0;t0605
lubelskie;krasnostawski;39595;24;18305;0;t0606
lubelskie;kraśnicki;64210;0;30379;0;t0607
lubelskie;lubartowski;52590;0;24671;0;t0608
lubelskie;lubelski;80592;0;36692;0;t0609
lubelskie;łęczyński;38905;18;18539;0;t0610
lubelskie;łukowski;53019;0;24765;0;t0611
lubelskie;opolski;42667;0;19550;0;t0612
lubelskie;parczewski;27034;0;12498;0;t0613
lubelskie;puławski;94040;10;44717;1;t0614
lubelskie;radzyński;29449;0;13969;0;t0615
lubelskie;rycki;51660;71;24677;0;t0616
lubelskie;świdnicki;43633;0;20845;0;t0617
lubelskie;tomaszowski;53288;0;24791;0;t0618
lubelskie;włodawski;34025;26;15865;0;t0619
lubelskie;zamojski;46880;0;22672;0;t0620
lubelskie;Biała Podlaska;66835;0;31493;0;t0661
lubelskie;Chełm;60564;22;27768;0;t0662
lubelskie;Lublin;427091;137;197701;16;t0663
lubelskie;Zamość;85646;20;40282;0;t0664
lubuskie;gorzowski;27987;0;13057;0;t0801
lubuskie;krośnieński;49177;108;23431;0;t0802
lubuskie;międzyrzecki;64692;0;30223;0;t0803
