wojewodztwo;powiat_miasto;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
woj_puste;pow_puste;49;24;0;0;t00
dolnoœl¹skie;boles³awiecki;62789;392;27434;278;t0201
dolnoœl¹skie;dzier¿oniowski;58178;537;25492;380;t0202
dolnoœl¹skie;g³ogowski;53454;825;22610;756;t0203
dolnoœl¹skie;górowski;23242;256;9960;248;t0204
dolnoœl¹skie;jaworski;34579;223;15098;191;t0205
dolnoœl¹skie;jeleniogórski;45113;382;20401;220;t0206
dolnoœl¹skie;kamiennogórski;26589;200;11949;179;t0207
dolnoœl¹skie;k³odzki;109450;1673;49152;1351;t0208
dolnoœl¹skie;legnicki;37298;348;15474;335;t0209
dolnoœl¹skie;lubañski;24067;408;9293;54;t0210
dolnoœl¹skie;lubiñski;112498;481;53018;386;t0211
dolnoœl¹skie;lwówecki;33818;391;14295;229;t0212
dolnoœl¹skie;milicki;28833;310;12841;254;t0213
dolnoœl¹skie;oleœnicki;74246;865;30335;652;t0214
dolnoœl¹skie;o³awski;40917;144;18840;120;t0215
dolnoœl¹skie;polkowicki;36548;298;15192;180;t0216
dolnoœl¹skie;strzeliñski;32196;394;14173;291;t0217
dolnoœl¹skie;œredzki;19137;142;8791;129;t0218
dolnoœl¹skie;œwidnicki;84987;972;36596;822;t0219
dolnoœl¹skie;trzebnicki;50115;245;21782;68;t0220
dolnoœl¹skie;wa³brzyski;28517;239;13098;204;t0221
dolnoœl¹skie;wo³owski;37070;330;16065;204;t0222
dolnoœl¹skie;wroc³awski;89976;760;40281;694;t0223
dolnoœl¹skie;z¹bkowicki;47578;423;21359;335;t0224
dolnoœl¹skie;zgorzelecki;48855;302;21355;215;t0225
dolnoœl¹skie;z³otoryjski;29706;152;12631;88;t0226
dolnoœl¹skie;Jelenia Góra;77812;595;35531;492;t0261
dolnoœl¹skie;Legnica;77957;601;35346;487;t0262
dolnoœl¹skie;Wroc³aw;935114;5336;421047;4216;t0264
dolnoœl¹skie;Wa³brzych;191588;867;87502;638;t0265
kujawsko-pomorskie;aleksandrowski;122427;389;57373;239;t0401
kujawsko-pomorskie;brodnicki;57963;615;24457;415;t0402
kujawsko-pomorskie;bydgoski;66143;543;28767;467;t0403
kujawsko-pomorskie;che³miñski;34530;394;15034;312;t0404
kujawsko-pomorskie;golubsko-dobrzyñski;29597;442;12457;308;t0405
kujawsko-pomorskie;grudzi¹dzki;21734;149;9266;121;t0406
kujawsko-pomorskie;inowroc³awski;92786;845;41666;717;t0407
kujawsko-pomorskie;lipnowski;44321;347;19095;206;t0408
kujawsko-pomorskie;mogileñski;23993;291;10196;265;t0409
kujawsko-pomorskie;nakielski;68678;388;29428;366;t0410
kujawsko-pomorskie;radziejowski;39027;137;16802;92;t0411
kujawsko-pomorskie;rypiñski;28959;644;12421;527;t0412
kujawsko-pomorskie;sêpoleñski;43694;730;19876;447;t0413
kujawsko-pomorskie;œwiecki;63830;436;27501;309;t0414
kujawsko-pomorskie;toruñski;60515;803;23746;618;t0415
kujawsko-pomorskie;tucholski;33080;233;14229;128;t0416
kujawsko-pomorskie;w¹brzeski;22281;54;9167;33;t0417
kujawsko-pomorskie;w³oc³awski;54506;620;23990;499;t0418
kujawsko-pomorskie;¿niñski;43448;457;18166;421;t0419
kujawsko-pomorskie;Bydgoszcz;373966;3638;166554;3165;t0461
kujawsko-pomorskie;Grudzi¹dz;105240;1276;45451;1073;t0462
kujawsko-pomorskie;Toruñ;157676;1383;67300;1183;t0463
kujawsko-pomorskie;W³oc³awek;78049;928;32756;749;t0464
lubelskie;bialski;53193;477;23345;401;t0601
lubelskie;bi³gorajski;45989;416;20723;341;t0602
lubelskie;che³mski;31849;336;14165;275;t0603
lubelskie;hrubieszowski;37846;349;16493;185;t0604
lubelskie;janowski;25601;287;11395;264;t0605
lubelskie;krasnostawski;36523;253;16483;217;t0606
lubelskie;kraœnicki;59468;274;27302;168;t0607
lubelskie;lubartowski;46974;221;20612;160;t0608
lubelskie;lubelski;73759;504;32647;361;t0609
lubelskie;³êczyñski;35948;446;16532;417;t0610
lubelskie;³ukowski;46748;339;20773;255;t0611
lubelskie;opolski;37877;281;16527;183;t0612
lubelskie;parczewski;24923;94;11318;85;t0613
lubelskie;pu³awski;84629;897;38338;689;t0614
lubelskie;radzyñski;26155;207;11569;122;t0615
lubelskie;rycki;46682;194;21040;143;t0616
lubelskie;œwidnicki;39165;325;17997;273;t0617
lubelskie;tomaszowski;47552;485;21329;411;t0618
lubelskie;w³odawski;31527;110;14167;66;t0619
lubelskie;zamojski;41979;299;19284;226;t0620
lubelskie;Bia³a Podlaska;60613;533;27747;458;t0661
lubelskie;Che³m;53643;442;23545;349;t0662
lubelskie;Lublin;391746;2039;178831;1591;t0663
lubelskie;Zamoœæ;78303;489;36114;385;t0664
lubuskie;gorzowski;25849;195;11584;115;t0801
lubuskie;kroœnieñski;44364;189;20402;130;t0802
lubuskie;miêdzyrzecki;59030;336;26683;208;t0803
lubuskie;nowosolski;77644;657;34564;394;t0804
lubuskie;s³ubicki;32167;357;14152;316;t0805
lubuskie;strzelecko-drezdenecki;42588;352;18970;290;t0806
lubuskie;sulêciñski;24569;549;10788;421;t0807
lubuskie;œwiebodziñski;47731;39;20685;23;t0808
lubuskie;zielonogórski;77691;449;35011;339;t0809
lubuskie;¿agañski;58517;382;25986;344;t0810
lubuskie;¿arski;88201;674;40561;567;t0811
lubuskie;wschowski;21568;178;9463;153;t0812
lubuskie;Gorzów Wielkopolski;125601;601;57886;437;t0861
lubuskie;Zielona Góra;133054;780;60861;500;t0862
³ódzkie;be³chatowski;59869;531;25441;388;t1001
³ódzkie;kutnowski;75670;622;34421;466;t1002
³ódzkie;³aski;30079;325;13361;284;t1003
³ódzkie;³êczycki;41816;129;17516;58;t1004
³ódzkie;³owicki;80765;533;37384;418;t1005
³ódzkie;³ódzki wschodni;31101;152;13045;114;t1006
³ódzkie;opoczyñski;48769;320;20939;257;t1007
³ódzkie;pabianicki;91033;1093;39916;891;t1008
³ódzkie;pajêczañski;26370;360;11455;324;t1009
³ódzkie;piotrkowski;39568;413;16240;374;t1010
³ódzkie;poddêbicki;31920;116;14139;107;t1011
³ódzkie;radomszczañski;70951;365;30924;126;t1012
³ódzkie;rawski;23821;255;10135;218;t1013
³ódzkie;sieradzki;82122;976;34995;735;t1014
³ódzkie;skierniewicki;20303;159;8978;151;t1015
³ódzkie;tomaszowski;90185;1026;40931;867;t1016
³ódzkie;wieluñski;77952;521;35966;400;t1017
³ódzkie;wieruszowski;28137;317;12251;256;t1018
³ódzkie;zduñskowolski;40866;306;17459;297;t1019
³ódzkie;zgierski;112152;1180;50074;1018;t1020
³ódzkie;brzeziñski;29916;363;13496;289;t1021
³ódzkie;£ódŸ;802083;4925;365885;4093;t1061
³ódzkie;Piotrków Trybunalski;64944;547;27793;467;t1062
³ódzkie;Skierniewice;63098;312;28861;220;t1063
ma³opolskie;bocheñski;61875;486;24519;254;t1201
ma³opolskie;brzeski;53323;683;22406;537;t1202
ma³opolskie;chrzanowski;95335;457;41180;395;t1203
ma³opolskie;d¹browski;35118;433;15810;352;t1204
ma³opolskie;gorlicki;73212;468;33609;356;t1205
ma³opolskie;krakowski;128860;1330;55341;1093;t1206
ma³opolskie;limanowski;72166;748;31651;610;t1207
ma³opolskie;miechowski;52921;620;23740;569;t1208
ma³opolskie;myœlenicki;82175;964;35721;879;t1209
ma³opolskie;nowos¹decki;107764;1812;45336;1310;t1210
ma³opolskie;nowotarski;107945;1221;46130;931;t1211
ma³opolskie;olkuski;95529;571;41894;457;t1212
ma³opolskie;oœwiêcimski;95500;1263;38863;1100;t1213
ma³opolskie;proszowicki;36386;196;16328;71;t1214
ma³opolskie;suski;56387;685;24315;562;t1215
ma³opolskie;tarnowski;78781;502;33926;367;t1216
ma³opolskie;tatrzañski;29852;554;13742;506;t1217
ma³opolskie;wadowicki;94559;1194;38925;944;t1218
ma³opolskie;wielicki;86950;963;35588;773;t1219
ma³opolskie;Kraków;1022838;7066;453807;5697;t1261
ma³opolskie;Nowy S¹cz;53420;421;23800;365;t1262
ma³opolskie;Tarnów;89726;657;38733;454;t1263
mazowieckie;bia³obrzeski;29306;194;12874;191;t1401
mazowieckie;ciechanowski;67490;630;30458;389;t1402
mazowieckie;garwoliñski;67763;896;29092;673;t1403
mazowieckie;gostyniñski;23074;112;9991;83;t1404
mazowieckie;grodziski;80299;762;33963;636;t1405
mazowieckie;grójecki;88724;993;39633;819;t1406
mazowieckie;kozienicki;35466;242;15611;212;t1407
mazowieckie;legionowski;60827;285;23233;227;t1408
mazowieckie;lipski;21850;207;9687;136;t1409
mazowieckie;³osicki;15329;199;6903;151;t1410
mazowieckie;makowski;34287;216;15145;192;t1411
mazowieckie;miñski;106232;789;43573;500;t1412
mazowieckie;m³awski;47228;726;20351;580;t1413
mazowieckie;nowodworski;90062;589;40235;419;t1414
mazowieckie;ostro³êcki;42643;486;18911;271;t1415
mazowieckie;ostrowski;41722;539;18944;399;t1416
mazowieckie;otwocki;74354;822;32132;614;t1417
mazowieckie;piaseczyñski;208898;1355;92184;1085;t1418
mazowieckie;p³ocki;68125;751;28652;664;t1419
mazowieckie;p³oñski;68033;167;29547;119;t1420
mazowieckie;pruszkowski;106854;378;45012;354;t1421
mazowieckie;przasnyski;43234;257;19772;202;t1422
mazowieckie;przysuski;22302;152;9625;95;t1423
mazowieckie;pu³tuski;38215;520;16635;413;t1424
mazowieckie;radomski;50809;328;21603;284;t1425
mazowieckie;siedlecki;26410;207;11947;123;t1426
mazowieckie;sierpecki;36058;290;15463;239;t1427
mazowieckie;sochaczewski;69984;279;30530;238;t1428
mazowieckie;soko³owski;36491;203;16119;142;t1429
mazowieckie;szyd³owiecki;15388;136;6493;106;t1430
mazowieckie;warszawski zachodni;99370;661;44011;491;t1432
mazowieckie;wêgrowski;37390;580;16356;517;t1433
mazowieckie;wo³omiñski;166471;1488;70721;1266;t1434
mazowieckie;wyszkowski;50383;675;21692;385;t1435
mazowieckie;zwoleñski;22737;225;9918;197;t1436
mazowieckie;¿uromiñski;23799;316;10617;142;t1437
mazowieckie;¿yrardowski;45318;626;19625;514;t1438
mazowieckie;Ostro³êka;63323;454;29663;337;t1461
mazowieckie;P³ock;108279;1275;46746;892;t1462
mazowieckie;Radom;199144;1406;86970;1087;t1463
mazowieckie;Siedlce;102963;685;46937;562;t1464
mazowieckie;Warszawa;2257722;14961;1015539;12601;t1465
opolskie;brzeski;65231;137;30015;69;t1601
opolskie;g³ubczycki;36759;119;17347;39;t1602
opolskie;kêdzierzyñsko-kozielski;72566;547;33964;281;t1603
opolskie;kluczborski;46316;92;20802;63;t1604
opolskie;krapkowicki;84944;505;37698;286;t1605
opolskie;namys³owski;24068;211;10914;175;t1606
opolskie;nyski;84754;203;39949;158;t1607
opolskie;oleski;42811;139;19486;106;t1608
opolskie;opolski;58498;274;26692;188;t1609
opolskie;prudnicki;35091;187;16189;154;t1610
opolskie;strzelecki;48340;434;21553;306;t1611
opolskie;Opole;167746;897;77718;576;t1661
podkarpackie;bieszczadzki;8205;51;3709;38;t1801
podkarpackie;brzozowski;41831;297;19470;235;t1802
podkarpackie;dêbicki;58794;274;24979;143;t1803
podkarpackie;jaros³awski;45378;265;20791;178;t1804
podkarpackie;jasielski;49447;321;22163;228;t1805
podkarpackie;kolbuszowski;19545;108;8866;95;t1806
podkarpackie;kroœnieñski;45162;151;21294;125;t1807
podkarpackie;le¿ajski;33394;155;14977;100;t1808
podkarpackie;lubaczowski;28667;53;13187;44;t1809
podkarpackie;³añcucki;35635;338;16602;264;t1810
podkarpackie;mielecki;79166;405;36657;240;t1811
podkarpackie;ni¿añski;29405;79;14004;50;t1812
podkarpackie;przemyski;16532;100;7626;84;t1813
podkarpackie;przeworski;25822;128;12010;44;t1814
podkarpackie;ropczycko-sêdziszowski;33138;189;15061;132;t1815
podkarpackie;rzeszowski;48483;379;22361;267;t1816
podkarpackie;sanocki;32886;160;14940;77;t1817
podkarpackie;stalowowolski;64233;280;29757;198;t1818
podkarpackie;strzy¿owski;23623;108;11163;83;t1819
podkarpackie;tarnobrzeski;12365;72;5406;54;t1820
podkarpackie;leski;12322;79;5975;32;t1821
podkarpackie;Krosno;38185;236;18148;100;t1861
podkarpackie;Przemyœl;37799;356;17389;246;t1862
podkarpackie;Rzeszów;502399;1314;235259;934;t1863
podkarpackie;Tarnobrzeg;54034;304;25235;187;t1864
podlaskie;augustowski;37390;198;16712;152;t2001
podlaskie;bia³ostocki;56106;282;26230;205;t2002
podlaskie;bielski;32200;222;14975;159;t2003
podlaskie;grajewski;23818;86;10956;41;t2004
podlaskie;hajnowski;26572;184;12493;118;t2005
podlaskie;kolneñski;19630;50;9359;39;t2006
podlaskie;³om¿yñski;13342;5;6232;5;t2007
podlaskie;moniecki;20006;183;9030;109;t2008
podlaskie;sejneñski;10610;162;4766;152;t2009
podlaskie;siemiatycki;28485;173;13596;136;t2010
podlaskie;sokólski;36754;307;16723;237;t2011
podlaskie;suwalski;7559;12;3401;11;t2012
podlaskie;wysokomazowiecki;41133;397;19079;294;t2013
podlaskie;zambrowski;21790;221;9616;124;t2014
podlaskie;Bia³ystok;443653;1003;207175;676;t2061
podlaskie;£om¿a;59756;258;27957;180;t2062
