wojewodztwo;powiat_miasto;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
woj_puste;pow_puste;182;78;0;0;t00
dolnoœl¹skie;boles³awiecki;63379;301;27788;216;t0201
dolnoœl¹skie;dzier¿oniowski;58446;147;25679;102;t0202
dolnoœl¹skie;g³ogowski;53933;291;23004;221;t0203
dolnoœl¹skie;górowski;23580;0;10293;0;t0204
dolnoœl¹skie;jaworski;34691;25;15164;0;t0205
dolnoœl¹skie;jeleniogórski;45226;113;20456;55;t0206
dolnoœl¹skie;kamiennogórski;26780;69;12117;46;t0207
dolnoœl¹skie;k³odzki;109568;109;49217;64;t0208
dolnoœl¹skie;legnicki;38229;94;16285;47;t0209
dolnoœl¹skie;lubañski;24278;211;9300;7;t0210
dolnoœl¹skie;lubiñski;113000;293;53438;240;t0211
dolnoœl¹skie;lwówecki;34218;47;14619;7;t0212
dolnoœl¹skie;milicki;29125;156;13085;120;t0213
dolnoœl¹skie;oleœnicki;76651;254;31967;131;t0214
dolnoœl¹skie;o³awski;40996;1;18841;1;t0215
dolnoœl¹skie;polkowicki;36868;126;15426;122;t0216
dolnoœl¹skie;strzeliñski;32442;155;14346;98;t0217
dolnoœl¹skie;œredzki;19159;22;8798;7;t0218
dolnoœl¹skie;œwidnicki;85833;172;37249;89;t0219
dolnoœl¹skie;trzebnicki;50938;139;22536;137;t0220
dolnoœl¹skie;wa³brzyski;28721;8;13259;8;t0221
dolnoœl¹skie;wo³owski;37225;76;16140;45;t0222
dolnoœl¹skie;wroc³awski;90812;49;41009;36;t0223
dolnoœl¹skie;z¹bkowicki;48269;60;21966;34;t0224
dolnoœl¹skie;zgorzelecki;48922;57;21412;56;t0225
dolnoœl¹skie;z³otoryjski;29808;13;12717;4;t0226
dolnoœl¹skie;Jelenia Góra;78612;292;36207;217;t0261
dolnoœl¹skie;Legnica;78514;199;35727;190;t0262
dolnoœl¹skie;Wroc³aw;945179;3979;428866;2994;t0264
dolnoœl¹skie;Wa³brzych;194169;467;89210;310;t0265
