wojewodztwo;liczba_szczepien_ogolnie;liczba_szczepien_dziennie;dawka_2_ogolem;dawka_2_dziennie;teryt
inne_puste_woj;49;24;0;0;t0
dolnoœl¹skie;2552227;19091;1136941;14696;t02
kujawsko-pomorskie;1666443;15742;725698;12660;t04
lubelskie;1458692;10297;658276;8025;t06
lubuskie;858574;5738;387596;4237;t08
³ódzkie;2063490;15846;921605;12818;t10
ma³opolskie;2610622;23294;1135364;18582;t12
mazowieckie;4894356;37062;2163113;29547;t14
opolskie;767124;3745;352327;2401;t16
podkarpackie;1376450;6202;637029;4178;t18
podlaskie;925640;4108;429611;2973;t20
pomorskie;2054780;15376;920716;11957;t22
œl¹skie;3786501;28828;1684604;23284;t24
œwiêtokrzyskie;882772;8156;387247;6142;t26
warmiñsko-mazurskie;1045184;8699;461192;6534;t28
wielkopolskie;2870005;28216;1240625;21905;t30
zachodniopomorskie;1445340;10983;641772;8464;t32
ca³y kraj;31258249;241407;13883716;188403;t00
